悪	亜,心	アク／わる(い)
宿	宀,亻,百	シュク／やど
所	戸,斤	ショ／ところ
暑	日,者	ショ／あつ(い)
助	且,力	ジョ／たす(ける)
昭	日,召	ショウ／いみ: 明るい・しょうわ（例: 明らかな・むかしの年号）
消	氵,肖	ショウ／け(す)
商	立,冂,八,口	ショウ／いみ: しょうばい（例: 売り買い・お店）
章	立,日,十	ショウ／いみ: 文の段落・しるし（例: 1〇・本のセクション）
勝	月,关,力	ショウ／か(つ)
乗	千,北,木	ジョウ／の(る)
植	木,直	ショク／う(える)
申	田,丨	シン／もう(す)
身	身	シン／み
神	礻,申	シン／かみ
真	十,目,八	シン／いみ: ほんとう（例: ほんもの・まこと）
深	氵,爫,木	シン／ふか(い)
進	⻌,隹	シン／すす(む)
世	一,凵	セイ／よ
整	束,攵,正	セイ／ととの(う)
昔	廿,日	セキ／むかし
全	入,王	ゼン／いみ: ぜんぶ・まったく（例: みな・まるごと）
相	木,目	ソウ／いみ: あいて・すがた（例: ペア・〇手）
送	⻌,关	ソウ／おく(る)
想	相,心	ソウ／いみ: 思い・考え（例: そう像・思いえがく）
息	自,心	ソク／いき
速	⻌,束	ソク／はや(い)
族	方,矢	ゾク／いみ: なかま・か〇（例: ファミリー・同じグループ）
他	亻,也	タ／ほか
打	扌,丁	ダ／う(つ)
対	文,寸	タイ／いみ: 向かい合う・組（例: ペア・むかいあう）
待	彳,寺	タイ／ま(つ)
代	亻,弋	ダイ／か(わる)
第	竹,弟	ダイ／いみ: じゅんばん・順序（例: 〇1・じゅん）
題	頁,是	ダイ／いみ: テーマ・問い（例: 教科書のれんしゅう・テスト）
炭	山,厂,火	タン／すみ
短	矢,豆	タン／みじか(い)
談	言,炎	ダン／いみ: 話し合い（例: そう〇・はなしあい）
着	羊,目	チャク／き(る)
注	氵,主	チュウ／いみ: そそぐ・気をつける（例: ジュースをそそぐ・〇意）
柱	木,主	チュウ／はしら
丁	丁	チョウ／いみ: 番地・「〇目」（例: 〇〇目・ねいねい）
帳	巾,長	チョウ／いみ: ノート・台ちょう（例: 連らく〇・メモ〇）
調	言,周	チョウ／しら(べる)
追	⻌,𠂤	ツイ／お(う)
定	宀,疋	テイ／いみ: きまる（例: しゅうかんを〇める・〇期テスト）
庭	广,廷	テイ／にわ
笛	竹,由	テキ／ふえ
鉄	金,失	テツ／いみ: 重くてかたい金属（例: レール・くぎ・棒）
転	車,云	テン／ころ(がる)
都	者,阝	ト／みやこ
度	广,廿,又	ド／いみ: かいすう・あたたかさ（例: 1〇・湯の温〇）
投	扌,殳	トウ／な(げる)
豆	豆	トウ／まめ
島	鳥,山	トウ／しま
湯	氵,日,一,勿	トウ／ゆ
登	癶,豆	トウ／のぼ(る)
等	竹,寺	トウ／ひと(しい)
動	重,力	ドウ／うご(く)
童	立,里	ドウ／いみ: こども（例: 〇話・〇よう・キッズ）
農	曲,辰	ノウ／いみ: のうぎょう・畑のしごと（例: 田畑をたがやす）
波	氵,皮	ハ／なみ
配	酉,己	ハイ／くば(る)
倍	亻,立,口	バイ／いみ: 同じ数を重ねる（例: 2〇・3〇）
箱	竹,相	はこ／いみ: 入れもの（例: ボックス・ダンボール）
畑	田,火	はた／はたけ
発	癶,弓	ハツ／いみ: 出る・始まる（例: しゅっ〇・はっぷん）
反	厂,又	ハン／そ(る)
坂	土,反	ハン／さか
板	木,反	バン／いた
皮	皮	ヒ／かわ
悲	非,心	ヒ／かな(しい)
美	羊,大	ビ／うつく(しい)
鼻	自,田,廾	ビ／はな
筆	竹,聿	ヒツ／ふで
氷	水,丶	ヒョウ／こおり
表	主,衣	ヒョウ／おもて
秒	禾,少	ビョウ／いみ: 1分の60分の1（例: 〇針・5〇まつ）
病	疒,丙	ビョウ／や(む)
品	口,口,口	ヒン／しな
負	𠂊,貝	フ／ま(ける)
部	立,口,阝	ブ／いみ: 全体の一〇・グループ（例: クラブ・なかま）
服	月,卩,又	フク／いみ: 着物・したがう（例: せい〇・指示にしたがう）
福	礻,一,口,田	フク／いみ: しあわせ（例: ハッピー・幸運）
物	牛,勿	ブツ／もの
平	干,八	ヘイ／たい(らか)
返	⻌,反	ヘン／かえ(る)
勉	免,力	ベン／いみ: 努力・がんばる（例: つとめる・〇強）
放	方,攵	ホウ／はな(つ)
味	口,未	ミ／あじ
命	人,一,卩,口	メイ／いのち
面	面	メン／いみ: かお・表〇（例: マスク・〇接・テーブルの上がわ）
問	門,口	モン／と(う)
役	彳,殳	ヤク／いみ: しごと・係（例: 主人〇・〇所）
薬	艹,楽	ヤク／くすり
由	田,丨	ユ・ユウ／よし
油	氵,由	ユ／あぶら
有	ナ,月	ユウ／あ(る)
遊	⻌,斿	ユウ／あそ(ぶ)
予	𠄐,亅	ヨ／いみ: 前もって・あらかじめ（例: 〇定・〇習）
羊	羊	ヨウ／ひつじ
洋	氵,羊	ヨウ／いみ: 大うみ・西の国（例: ハワイのある海・スーツ）
葉	艹,枼	ヨウ／は
陽	阝,日,一,勿	ヨウ／いみ: ひざし・明るい側（例: お日さま・あかるい場所）
様	木,羊,水	ヨウ／さま
落	艹,氵,各	ラク／お(ちる)
流	氵,亠,厶,川	リュウ／なが(れる)
旅	方,𠄎	リョ／たび
両	一,冂,人,人	リョウ／いみ: ふたつ・〇方（例: 〇手・〇がわ）
緑	糸,彑,水	リョク／みどり
礼	礻,乚	レイ／いみ: あいさつ・敬意（例: ありがとうのおじぎ・マナー）
列	歹,刂	レツ／いみ: ならび（例: 〇車・1れつにならぶ）
練	糸,柬	レン／ね(る)
路	足,各	ロ・ジ／みち
和	禾,口	ワ／なご(む)
