圧	厂,土	アツ／いみ: 押す力（例: タイヤをぐっと押す力・血の流れをはかる）
救	求,攵	キュウ／すく(う)
居	尸,古	キョ／い(る)
許	言,午	キョ／ゆる(す)
境	土,立,見	キョウ／さかい
均	土,匀	キン／いみ: ならす・ひとしい（例: 平〇・〇等）
禁	林,示	キン／いみ: とめる・してはいけない（例: 〇止・〇煙）
句	勹,口	ク／いみ: みじかいことば（例: 一〇・俳〇）
群	君,羊	グン／む(れる)
経	糸,又,土	ケイ／いみ: 通る・たて糸（例: 〇路・〇験）
潔	氵,絜	ケツ／いさぎよ(い)
件	亻,牛	ケン／いみ: ことがら（例: 事〇・条〇）
券	龹,刀	ケン／いみ: ふだ・チケット（例: 入場〇・乗車〇）
検	木,𠆢,口,人,人	ケン／いみ: しらべる（例: 〇査・点〇）
険	阝,𠆢,口,人,人	ケン／けわ(しい)
減	氵,戌,口	ゲン／へ(る)
現	王,見	ゲン／いみ: あらわれる・いま（例: 〇在・実〇）
限	阝,艮	ゲン／かぎ(る)
個	亻,固	コ／いみ: ひとつひとつ（例: りんご3〇・〇人）
故	古,攵	コ／ゆえ
護	言,艹,隹,又	ゴ／いみ: まもる・大切にする（例: 自然を守る・かん〇）
効	交,力	コウ／き(く)
厚	厂,曰,子	コウ／あつ(い)
耕	耒,井	コウ／たがや(す)
鉱	金,広	コウ／いみ: 〇物・原料（例: 〇山・〇石）
構	木,井,冂,土	コウ／かま(える)
興	𭕄,同,八	コウ／いみ: おこる・楽しむ（例: 〇味・しん〇）
講	言,井,冂,土	コウ／いみ: 教えはなす・授業（例: 大学の〇義・〇師）
混	氵,昆	コン／ま(ぜる)
査	木,且	サ／いみ: しらべる（例: 検〇・調〇）
再	一,冂,土	サイ／ふたた(び)
災	巛,火	サイ／いみ: わざわい（例: 火〇・しん〇）
妻	女,十,ヨ	サイ／つま
採	扌,爫,木	サイ／と(る)
際	阝,祭	サイ／きわ
在	ナ,土	ザイ／あ(る)
財	貝,才	ザイ／いみ: たから・お金（例: 〇産・〇布）
罪	罒,非	ザイ／つみ
雑	九,木,隹	ザツ／いみ: まじわる（例: ごちゃごちゃ・いろいろ入りまじる）
酸	酉,夋	サン／す(い)
賛	夫,夫,貝	サン／いみ: ほめる・たすける（例: 〇成・〇美）
支	十,又	シ／いみ: ささえる（例: 〇える・〇店）
志	士,心	シ／こころざし
枝	木,支	シ／えだ
師	丘,巾	シ／いみ: 先生・指導者（例: 教〇・い〇）
資	次,貝	シ／いみ: もとで・しりょう（例: 〇料・〇金）
飼	食,司	シ／か(う)
示	示	ジ／しめ(す)
似	亻,以	ジ／に(る)
識	言,音,戈	シキ／いみ: 見分ける・しる（例: 知〇・〇別）
質	斤,斤,貝	シツ／いみ: なかみ・たち（例: 〇問・性〇）
舎	人,士,口	シャ／いみ: 建物（例: こう〇・宿〇）
謝	言,射	シャ／あやま(る)
授	扌,受	ジュ／さず(ける)
修	攸,彡	シュウ／おさ(める)
述	⻌,朮	ジュツ／の(べる)
術	行,朮	ジュツ／いみ: わざ・やり方（例: 美〇・手〇）
準	氵,隹,十	ジュン／いみ: あわせる・基〇（例: 〇備・基〇）
序	广,予	ジョ／いみ: じゅん・順番（例: 〇文・じゅん〇）
招	扌,召	ショウ／まね(く)
承	了,𠄎,水	ショウ／うけたまわ(る)
証	言,正	ショウ／いみ: あかし・しょうこ（例: 〇明・〇拠）
条	夂,木	ジョウ／いみ: すじ・きまり（例: 〇件・〇文）
状	丬,犬	ジョウ／いみ: ようす・形（例: 形〇・〇況）
常	尚,巾	ジョウ／つね
情	忄,青	ジョウ／なさ(け)
織	糸,音,戈	シキ／お(る)
職	耳,音,戈	ショク／いみ: しごと（例: 〇業・〇場）
制	牛,巾,刂	セイ／いみ: きめる・しくみ（例: 〇度・〇服）
性	忄,生	セイ／いみ: せいしつ・たち（例: 〇格・男〇）
政	正,攵	セイ／まつりごと
勢	埶,力	セイ／いきお(い)
精	米,青	セイ／いみ: えりすぐる・たま（例: 〇神・〇いっぱい）
製	制,衣	セイ／いみ: 作る（例: 〇品・木〇）
税	禾,兌	ゼイ／いみ: 国に納めるお金（例: 〇金・しょうひ〇）
責	主,貝	セキ／せ(める)
績	糸,責	セキ／いみ: なしとげた結果（例: せい〇・じっせ〇）
接	扌,立,女	セツ／いみ: つなぐ・触れる（例: 〇続・〇近）
設	言,殳	セツ／もう(ける)
絶	糸,色	ゼツ／いみ: たえる・なくす（例: たえる・〇望）
祖	礻,且	ソ／いみ: せんぞ・もと（例: 〇父・〇先）
素	主,糸	ソ／いみ: もと・かざらない（例: 〇直・〇材）
総	糸,公,心	ソウ／いみ: ぜんぶ・まとめる（例: 〇合・〇理）
造	⻌,告	ゾウ／つく(る)
像	亻,象	ゾウ／いみ: かたち・すがた（例: ぞう刻・想〇）
増	土,曽	ゾウ／ふ(える)
則	貝,刂	ソク／いみ: きまり・ルール（例: 校〇・〇って）
測	氵,則	ソク／はか(る)
属	尸,禹	ゾク／いみ: つく・なかま（例: 〇する・金〇）
率	玄,冫,十	ソツ／ひき(いる)
損	扌,員	ソン／そこ(なう)
退	⻌,艮	タイ／しりぞ(く)
貸	代,貝	タイ／か(す)
態	能,心	タイ／いみ: ようす（例: 〇度・実〇）
団	囗,寸	ダン／いみ: あつまり（例: 〇体・しゅう〇）
断	米,𠃊,斤	ダン／た(つ)
築	竹,巩,木	チク／きず(く)
貯	貝,宁	チョ／いみ: ためる（例: 〇金・〇蓄）
張	弓,長	チョウ／は(る)
停	亻,亭	テイ／いみ: とまる（例: 〇車・〇電）
提	扌,是	テイ／さ(げる)
程	禾,呈	テイ／ほど
適	⻌,啇	テキ／いみ: ぴったり（例: 〇切・〇当）
敵	啇,攵	テキ／かたき
統	糸,充	トウ／す(べる)
銅	金,同	ドウ／いみ: 赤茶色の金属（例: 10円玉・〇像）
導	道,寸	ドウ／みちび(く)
独	犭,虫	ドク／ひと(り)
任	亻,壬	ニン／まか(せる)
燃	火,然	ネン／も(える)
能	厶,月,匕,匕	ノウ／いみ: できる・才〇（例: 〇力・才〇）
破	石,皮	ハ／やぶ(る)
犯	犭,卩	ハン／おか(す)
判	半,刂	ハン／いみ: わかる・はんこ（例: 〇断・〇定）
版	片,反	ハン／いみ: いた・印刷（例: 〇画・出〇）
比	比	ヒ／くら(べる)
肥	月,巴	ヒ／こ(える)
非	非	ヒ／いみ: 〜でない（例: 〇常・〇行）
備	亻,備	ビ／そな(える)
俵	亻,表	ヒョウ／たわら
評	言,平	ヒョウ／いみ: ひょうばん（例: 〇価・〇判）
貧	分,貝	ヒン／まず(しい)
布	ナ,巾	フ／ぬの
婦	女,帚	フ／いみ: 女性・つま（例: お母さん・けっこんしている女の人）
富	宀,畐	フ／とみ
武	一,弋,止	ブ／いみ: たけし・つよさ（例: 〇士・〇道）
復	彳,丿,日,夂	フク／いみ: もどる・かえる（例: 〇習・〇活）
複	衤,丿,日,夂	フク／いみ: 重なる（例: にじゅう・コピー・写し）
仏	亻,ム	ブツ／ほとけ
編	糸,扁	ヘン／あ(む)
弁	厶,廾	ベン／いみ: わけ・話す（例: 〇当・〇士）
保	亻,呆	ホ／たも(つ)
墓	艹,日,大,土	ボ／はか
報	幸,𠬝	ホウ／いみ: しらせ・むくいる（例: 〇告・じょう〇）
豊	曲,豆	ホウ／ゆた(か)
防	阝,方	ボウ／ふせ(ぐ)
貿	卯,貝	ボウ／いみ: しなものを取引する（例: 〇易）
暴	日,共,水	ボウ／あば(れる)
脈	月,氏	ミャク／いみ: すじ・つながり（例: 動〇・山〇）
務	矛,攵,力	ム／つと(める)
夢	艹,目,冖,夕	ム／ゆめ
迷	⻌,米	メイ／まよ(う)
綿	糸,白,巾	メン／わた
輸	車,𠆢,一,月,刂	ユ／いみ: はこぶ（例: 〇送・〇出）
余	𠆢,木	ヨ／あま(る)
預	予,頁	ヨ／あず(ける)
容	宀,谷	ヨウ／いみ: なかみ・すがた（例: 〇積・〇姿）
略	田,各	リャク／いみ: はぶく・やり方（例: しょう〇・戦〇）
留	𠂊,刀,田	リュウ／と(まる)
領	令,頁	リョウ／いみ: おさめる・じぶんの土地（例: 大とう〇・〇土）
歴	厂,林,止	レキ／いみ: 過去のあゆみ（例: 〇史・り〇書）
