引	弓,丨	イン／ひ(く)
週	⻌,周	シュウ／いみ: 7日のひとくぎり（例: 月〜日の1サイクル）
春	日,夫	シュン／はる
書	聿,曰	ショ／か(く)
少	小,丿	ショウ／すく(ない)
場	土,日,一,勿	ジョウ／ば
色	色	ショク／いろ
食	食	ショク／た(べる)
心	心	シン／こころ
新	立,木,斤	シン／あたら(しい)
親	立,木,見	シン／おや
図	囗,冫,⼇	ズ・ト／いみ: えず・グラフ（例: 地〇・グラフ）
数	米,女,攵	スウ／かず
西	西	セイ／にし
声	士,尸	セイ／こえ
星	日,生	セイ／ほし
晴	日,青	セイ／は(れる)
切	七,刀	セツ／き(る)
雪	雨,ヨ	セツ／ゆき
船	舟,八,口	セン／ふね
線	糸,泉	セン／いみ: ほそい筋（例: レール・地図の道〇）
前	䒑,月,刂	ゼン／まえ
組	糸,且	ソ／く(む)
走	走	ソウ／はし(る)
多	夕,夕	タ／おお(い)
太	大,丶	タイ／ふと(い)
体	亻,本	タイ／からだ
台	厶,口	ダイ／いみ: 高い場所・基（例: テーブル・ぶ〇）
地	土,也	チ／いみ: 大〇・つち（例: しき〇・グラウンド）
池	氵,也	チ／いけ
知	矢,口	チ／し(る)
茶	艹,人,木	チャ／いみ: のみもの・色（例: ティー・はっぱから作るもの）
昼	日,尺	チュウ／ひる
長	長	チョウ／なが(い)
鳥	鳥	チョウ／とり
朝	月,十,日	チョウ／あさ
直	十,目,乚	チョク／なお(す)
通	⻌,甬	ツウ／とお(る)
弟	弓,丿	ダイ・テイ／おとうと
店	广,占	テン／みせ
点	占,灬	テン／いみ: ぽち・しるし（例: ドット・テストの〇すう）
電	雨,田	デン／いみ: いなずま・コンセントの力（例: コンセントから流れる力・ピカッと光る）
刀	刀	トウ／かたな
冬	夂,冫	トウ／ふゆ
当	小,ヨ	トウ／あ(たる)
東	木,日	トウ／ひがし
答	竹,合	トウ／こた(える)
頭	豆,丿,一,目,八	トウ／あたま
同	冂,一,口	ドウ／おな(じ)
道	⻌,首	ドウ／みち
読	言,売	ドク／よ(む)
内	冂,人	ナイ／うち
南	十,冂,丷,十	ナン／みなみ
肉	肉	ニク／いみ: からだのつき・食べる組織（例: ステーキ・お〇つき）
馬	馬	バ／うま
売	士,冖,儿	バイ／う(る)
買	罒,貝	バイ／か(う)
麦	主,夂	バク／むぎ
半	八,十	ハン／なか(ば)
番	釆,田	バン／いみ: じゅん・見はり（例: じゅん〇・とう〇）
父	父	フ／ちち
風	風	フウ／かぜ
分	八,刀	ブン／わ(ける)
聞	門,耳	ブン／き(く)
米	米	ベイ／こめ
歩	止,少	ホ／ある(く)
母	毋	ボ／はは
方	方	ホウ／いみ: ほう〇く・やり〇（例: 北の〇角・つかい〇）
北	北	ホク／きた
毎	𠂉,母	マイ／ごと
妹	女,未	マイ／いもうと
万	万	マン／いみ: とても大きな数（例: 100の100倍・10000）
明	日,月	メイ／あか(るい)
鳴	口,鳥	メイ／な(く)
毛	毛	モウ／け
門	門	モン／かど
夜	亠,亻,夕	ヤ／よる
野	里,予	ヤ／の
友	ナ,又	ユウ／とも
用	用	ヨウ／いみ: つかうこと・しごと（例: つかいみち・〇事）
曜	日,羽,隹	ヨウ／いみ: 1週間の日（例: 月〇日・カレンダーの〇日）
来	木,丷	ライ／く(る)
里	里	リ／さと
理	王,里	リ／いみ: ことわり・しらべる（例: すう〇・〇科）
話	言,舌	ワ／はな(す)
