愛	爪,冖,心,夂	アイ／いみ: いつくしむ気持ち（例: 家族を大切に思う・ペットへの思いやり）
材	木,才	ザイ／いみ: 物のもと・原料（例: 木〇・原〇）
崎	山,大,可	さき／いみ: みさき・地名（例: 長〇県・宮〇県）
昨	日,乍	サク／いみ: きのう・前（例: 〇日・〇年）
札	木,乚	サツ／ふだ
刷	尸,巾,刂	サツ／す(る)
殺	杀,殳	サツ／いみ: ころす・なくす（例: ころす・〇虫剤）
察	宀,祭	サツ／いみ: みる・気づく（例: 〇する・けい〇）
参	厶,大,彡	サン／まい(る)
散	廿,月,攵	サン／ち(る)
産	立,厂,生	サン／う(む)
残	歹,戈,戈	ザン／のこ(る)
司	一,冂,口	シ／いみ: つかさどる・上に立つ人（例: じょう〇・〇令官）
史	口,乂	シ／いみ: 歴〇・記録（例: 歴〇・むかしのできごと）
士	士	シ／いみ: さむらい・立派な人（例: 武〇・志ある人）
氏	氏	シ／いみ: みょうじ・〇族（例: 〇族・名前のうしろ）
試	言,式	シ／こころ(みる)
児	旧,儿	ジ／いみ: こども（例: 〇童・赤〇）
治	氵,台	ジ／おさ(める)
滋	氵,玆	ジ／いみ: 増える・地名（例: 〇養・〇賀県）
辞	舌,辛	ジ／いみ: ことば・やめる（例: 〇書・〇任）
鹿	鹿	ロク／しか
失	大,丿	シツ／うしな(う)
借	亻,昔	シャク／か(りる)
種	禾,重	シュ／たね
周	用,口	シュウ／まわ(り)
祝	礻,兄	シュク／いわ(う)
順	川,頁	ジュン／いみ: じゅんばん（例: あいうえお〇・ナンバリング）
初	衤,刀	ショ／はじ(め)
松	木,公	ショウ／まつ
笑	竹,夭	ショウ／わら(う)
唱	口,昌	ショウ／いみ: となえる・うたう（例: ぼう〇・がっ〇）
焼	火,土,土,儿	ショウ／や(く)
象	象	ショウ／いみ: ぞう・かたち（例: ゾウさん・ぞう牙・〇徴）
照	日,召,灬	ショウ／て(らす)
賞	尚,貝	ショウ／いみ: ほうび・たたえる（例: 入〇・〇状）
臣	臣	シン／いみ: けらい（例: だい〇・〇下）
信	亻,言	シン／いみ: まこと・しんじる（例: 友だちのことば・うそではない）
井	二,丨,丨	セイ／い
成	戊,丁	セイ／な(る)
省	少,目	セイ／いみ: 役所・はぶく（例: もん部か学〇・しょうりゃく）
清	氵,青	セイ／きよ(い)
静	青,争	セイ／しず(か)
席	广,廿,巾	セキ／いみ: すわるところ（例: 自分のシート・教室の〇）
積	禾,責	セキ／つ(む)
折	扌,斤	セツ／お(る)
節	竹,白,匕,卩	セツ／ふし
説	言,兌	セツ／と(く)
浅	氵,戈,戈	セン／あさ(い)
戦	単,戈	セン／たたか(う)
選	⻌,巽	セン／えら(ぶ)
然	灬,月,犬	ゼン／いみ: そのとおり・ありのまま（例: 自〇のまま・とう〇）
争	爪,⼅	ソウ／あらそ(う)
倉	食,口	ソウ／くら
巣	巛,木	ソウ／す
束	木,口	ソク／たば
側	亻,則	ソク／がわ
続	糸,売	ゾク／つづ(く)
卒	亠,亻,亻,十	ソツ／いみ: おわる・〇業（例: 〇業・最後の年）
孫	子,系	ソン／まご
帯	廿,冖,巾	タイ／お(びる)
隊	阝,八,豕	タイ／いみ: 部〇・グループ（例: 軍〇・チーム）
達	⻌,羊,土	タツ／いみ: とどく・成しとげる（例: ゴール・夢をかなえる）
単	⺍,田,十	タン／いみ: ひとつ・かんたん（例: 〇純・ひと〇）
置	罒,直	チ／お(く)
仲	亻,中	チュウ／なか
沖	氵,中	チュウ／おき
兆	儿,丷	チョウ／いみ: しるし・きざし（例: 〇候・大きな数）
低	亻,氐	テイ／ひく(い)
底	广,氐	テイ／そこ
的	白,勺	テキ／まと
典	曲,八	テン／いみ: きまり・本（例: 辞〇・古〇）
伝	亻,云	デン／つた(える)
徒	彳,土,疋	ト／いみ: あるき・なかま（例: 学校の生〇・歩いてかよう人）
努	奴,力	ド／つと(める)
灯	火,丁	トウ／いみ: あかり（例: ライト・〇台）
働	亻,動	ドウ／はたら(く)
特	牛,寺	トク／いみ: ふつうとちがう・スペシャル（例: 〇別）
徳	彳,十,四,心	トク／いみ: 善いおこない（例: 親切・正しい心）
栃	木,万,丿	とち
奈	大,示	ナ／いみ: いかに・地名（例: 〇良県）
梨	利,木	リ／なし
熱	灬,埶	ネツ／あつ(い)
念	今,心	ネン／いみ: 思い・気持ち（例: しん〇・き〇）
敗	貝,攵	ハイ／やぶ(れる)
梅	木,毎	バイ／うめ
博	十,専	ハク／いみ: 広い知識（例: 〇士・〇覧会）
阪	阝,反	はん／さか
飯	食,反	ハン／めし
飛	飛	ヒ／と(ぶ)
必	心,丿	ヒツ／かなら(ず)
票	西,示	ヒョウ／いみ: ふだ・カード（例: 投〇・伝〇）
標	木,票	ヒョウ／いみ: しるし・目印（例: 道路の〇識・目〇）
不	不	フ／いみ: ない・打ち消し（例: 〇足・〇思議）
夫	夫	フ／おっと
付	亻,寸	フ／つ(ける)
府	广,付	フ／いみ: 役所・〇県（例: 大阪〇・京都〇）
阜	丘,十	フ／いみ: おか・地名（例: ぎ〇県・小高い土地）
富	宀,一,口,田	フ／とみ
副	一,口,田,刂	フク／いみ: そえ・サブ（例: 主の次の人・〇大臣）
兵	斤,八	ヘイ／いみ: 軍人・ぐんたいの人（例: 軍〇・〇隊）
別	口,刀,刂	ベツ／いみ: わかれる・ほか（例: さよなら・〇々）
辺	⻌,刀	ヘン／あた(り)
変	亦,夂	ヘン／か(わる)
便	亻,更	ベン／たよ(り)
包	勹,巳	ホウ／つつ(む)
法	氵,去	ホウ／いみ: きまり・やり方（例: 国のルール・りょうり〇）
望	亡,月,王	ボウ／いみ: のぞむ・ながめる（例: きょう〇・〇遠鏡）
牧	牛,攵	ボク／いみ: 家畜を放しがう（例: 〇場・〇民）
末	一,木	マツ／いみ: おわり・すえ（例: 〇期・年〇）
満	氵,廿,𠆢,人,人	マン／いみ: いっぱい（例: フル・〇月）
未	一,木	ミ／いみ: まだ・〜していない（例: 〇来・〇完成）
民	民	ミン／いみ: 人々（例: 国〇・住〇）
無	丿,卌,灬	ム／な(い)
約	糸,勺	ヤク／いみ: やくそく・だいたい（例: プロミス・〇束）
勇	マ,男	ユウ／いさ(む)
要	西,女	ヨウ／いみ: 大事・もとめる（例: 重〇・〇求）
養	羊,食	ヨウ／やしな(う)
浴	氵,谷	ヨク／あ(びる)
利	禾,刂	リ／いみ: ためになる・するどい（例: 〇益・〇用）
陸	阝,坴	リク／いみ: 地面・大地（例: 大〇・〇地）
良	良	リョウ／よ(い)
料	米,斗	リョウ／いみ: ざいりょう・代金（例: 食〇・げん〇）
量	旦,里	リョウ／はか(る)
輪	車,𠆢,冂,冊	リン／わ
類	米,大,頁	ルイ／いみ: 仲間・グループ（例: 同じ〇・分〇）
令	𠆢,卩	レイ／いみ: 命じる・きまり（例: めい〇・〇和）
冷	冫,令	レイ／つめ(たい)
例	亻,列	レイ／たと(える)
連	⻌,車	レン／つら(なる)
老	老	ロウ／お(いる)
労	𫝆,力	ロウ／いみ: はたらく・つかれる（例: 〇働・苦〇）
録	金,彑,水	ロク／いみ: 書きとめる（例: 〇音・記〇）
